code;parent;brand;categories;collection;description-de_DE-ecommerce;description-de_DE-mobile;description-de_DE-print;description-en_US-ecommerce;description-en_US-mobile;description-en_US-print;description-fr_FR-ecommerce;description-fr_FR-mobile;description-fr_FR-print;erp_name-de_DE;erp_name-en_US;erp_name-fr_FR;eu_shoes_size;family_variant;keywords-de_DE;keywords-en_US;keywords-fr_FR;material;meta_description-de_DE;meta_description-en_US;meta_description-fr_FR;meta_title-de_DE;meta_title-en_US;meta_title-fr_FR;name;notice;price-EUR;price-USD;size;sole_composition;supplier;top_composition;variation_name-de_DE;variation_name-en_US;variation_name-fr_FR;weight;weight-unit
Model-running-shoes1;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes2;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes3;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes4;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes5;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes6;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes7;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes8;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes9;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes10;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes11;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes12;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes13;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes14;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes15;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes16;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes17;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes18;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes19;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes20;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes21;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes22;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes23;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes24;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes25;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes26;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes27;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes28;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes29;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes30;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes31;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes32;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes33;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes34;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes35;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes36;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes37;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes38;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes39;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes40;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes41;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes42;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes43;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes44;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes45;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes46;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes47;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes48;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes49;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes50;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes51;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes52;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes53;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes54;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes55;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes56;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes57;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes58;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes59;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes60;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes61;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes62;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes63;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes64;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes65;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes66;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes67;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes68;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes69;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes70;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes71;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes72;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes73;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes74;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes75;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes76;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes77;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes78;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes79;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes80;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes81;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes82;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes83;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes84;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes85;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes86;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes87;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes88;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes89;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes90;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes91;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes92;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes93;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes94;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes95;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes96;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes97;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
Model-running-shoes98;;;;;;;;Running shoes;;;;;;;;;;shoes_size_color;;;;leather;;;;;;;Running shoes;;;;;;;;;;;;
