sku;parent;brand;categories;collection;color;composition;description-de_DE-ecommerce;description-en_US-ecommerce;description-fr_FR-ecommerce;ean;enabled;erp_name-de_DE;erp_name-en_US;erp_name-fr_FR;eu_shoes_size;family;groups;image;keywords-de_DE;keywords-en_US;keywords-fr_FR;material;meta_description-de_DE;meta_description-en_US;meta_description-fr_FR;meta_title-de_DE;meta_title-en_US;meta_title-fr_FR;name;notice;price-EUR;price-USD;size;sole_composition;supplier;top_composition;variation_image;variation_name-de_DE;variation_name-en_US;variation_name-fr_FR;weight;weight-unit
Running-shoes-s-red1;Model-running-shoes-s1;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890355;1;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red2;Model-running-shoes-s2;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890356;2;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red3;Model-running-shoes-s3;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890357;3;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red4;Model-running-shoes-s4;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890358;4;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red5;Model-running-shoes-s5;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890359;5;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red6;Model-running-shoes-s6;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890360;6;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red7;Model-running-shoes-s7;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890361;7;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red8;Model-running-shoes-s8;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890362;8;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red9;Model-running-shoes-s9;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890363;9;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red10;Model-running-shoes-s10;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890364;10;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red11;Model-running-shoes-s11;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890365;11;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red12;Model-running-shoes-s12;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890366;12;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red13;Model-running-shoes-s13;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890367;13;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red14;Model-running-shoes-s14;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890368;14;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red15;Model-running-shoes-s15;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890369;15;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red16;Model-running-shoes-s16;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890370;16;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red17;Model-running-shoes-s17;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890371;17;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red18;Model-running-shoes-s18;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890372;18;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red19;Model-running-shoes-s19;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890373;19;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red20;Model-running-shoes-s20;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890374;20;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red21;Model-running-shoes-s21;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890375;21;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red22;Model-running-shoes-s22;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890376;22;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red23;Model-running-shoes-s23;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890377;23;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red24;Model-running-shoes-s24;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890378;24;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red25;Model-running-shoes-s25;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890379;25;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red26;Model-running-shoes-s26;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890380;26;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
