sku;categories;enabled;family;groups;brand;care_instructions;collection;color;composition;description-de_DE-ecommerce;description-en_US-ecommerce;description-fr_FR-ecommerce;EAN;erp_name-de_DE;erp_name-en_US;erp_name-fr_FR;eu_shoes_size;image_1;keywords-de_DE;keywords-en_US;keywords-fr_FR;meta_description-de_DE;meta_description-en_US;meta_description-fr_FR;meta_title-de_DE;meta_title-en_US;meta_title-fr_FR;name-de_DE;name-en_US;name-fr_FR;notice;price-EUR;price-USD;size;sole_composition;supplier;top_composition;variation_image;variation_name-de_DE;variation_name-en_US;variation_name-fr_FR;wash_temperature;weight;weight-unit
amor_3;master_men_blazers,supplier_zaro;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;xxl;;;;;;Amor - Blue;;;800;GRAM
aphrodite_6;master_women_blouses,print_clothing,supplier_zaro;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;s00;;;;;;Aphrodite - Blue;;;800;GRAM
caelus_2;master_men_blazers_deals,supplier_mongo;1;clothing;;;;;red;;;;;;;;;;;;;;;;;;;;;;;;;;m00;;;;;;Caelus - Red;;;800;GRAM
climbingshoe_0;master_men_shoes,print_shoes,supplier_abibas;1;shoes;;;;;black;;;;;;;;;410;;;;;;;;;;;;;;;;;;;;;;;Climbing shoe - Black;;;900;GRAM
climbingshoe_1;master_men_shoes,print_shoes,supplier_abibas;1;shoes;;;;;black;;;;;;;;;400;;;;;;;;;;;;;;;;;;;;;;;Climbing shoe - Black;;;900;GRAM
climbingshoe_2;master_men_shoes,print_shoes,supplier_abibas;1;shoes;;;;;black;;;;;;;;;390;;;;;;;;;;;;;;;;;;;;;;;Climbing shoe - Black;;;800;GRAM
climbingshoe_3;master_men_shoes,print_shoes,supplier_abibas;1;shoes;;;;;black;;;;;;;;;380;;;;;;;;;;;;;;;;;;;;;;;Climbing shoe - Black;;;800;GRAM
climbingshoe_4;master_men_shoes,print_shoes,supplier_abibas;1;shoes;;;;;black;;;;;;;;;370;;;;;;;;;;;;;;;;;;;;;;;Climbing shoe - Black;;;800;GRAM
climbingshoe_5;master_men_shoes,print_shoes,supplier_abibas;1;shoes;;;;;black;;;;;;;;;360;;;;;;;;;;;;;;;;;;;;;;;Climbing shoe - Black;;;800;GRAM
derby_0;master_men_shoes,print_shoes,supplier_abibas;1;shoes;;;;;brown;;;;;;;;;410;;;;;;;;;;;;;;;;;;;;;;;Derby shoe - Brown;;;900;GRAM
derby_1;master_men_shoes,print_shoes,supplier_abibas;1;shoes;;;;;brown;;;;;;;;;400;;;;;;;;;;;;;;;;;;;;;;;Derby shoe - Brown;;;900;GRAM
derby_2;master_men_shoes,print_shoes,supplier_abibas;1;shoes;;;;;brown;;;;;;;;;390;;;;;;;;;;;;;;;;;;;;;;;Derby shoe - Brown;;;800;GRAM
aphrodite_7;master_women_blouses,print_clothing,supplier_zaro;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;xs0;;;;;;Aphrodite - Blue;;;600;GRAM
derby_3;master_men_shoes,print_shoes,supplier_abibas;1;shoes;;;;;brown;;;;;;;;;380;;;;;;;;;;;;;;;;;;;;;;;Derby shoe - Brown;;;800;GRAM
derby_4;master_men_shoes,print_shoes,supplier_abibas;1;shoes;;;;;brown;;;;;;;;;370;;;;;;;;;;;;;;;;;;;;;;;Derby shoe - Brown;;;800;GRAM
derby_5;master_men_shoes,print_shoes,supplier_abibas;1;shoes;;;;;brown;;;;;;;;;360;;;;;;;;;;;;;;;;;;;;;;;Derby shoe - Brown;;;800;GRAM
diana_3;master_women_dresses,print_clothing,supplier_zaro;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;xxl;;;;;;Diana - Blue;;;800;GRAM
diana_4;master_women_dresses,print_clothing,supplier_zaro;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;xl0;;;;;;Diana - Blue;;;800;GRAM
diana_5;master_women_dresses,print_clothing,supplier_zaro;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;m00;;;;;;Diana - Blue;;;;
diana_6;master_women_dresses,print_clothing,supplier_zaro;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;s00;;;;;;Diana - Blue;;;800;GRAM
