acid-green;Acid Green;#B0BF1A;69;75;10;65;76;43;86;75;10945
aero;Aero;#7CB9E8;49;73;91;206;70;70;47;91;29961
aero-blue;Aero Blue;#C9FFE5;79;100;90;151;100;89;21;100;8910
african-violet;African Violet;#B284BE;70;52;75;288;31;63;31;75;1269
air-force-blue-raf;Air Force Blue (RAF);#5D8AA8;36;54;66;204;30;51;45;66;7576
air-force-blue-usaf;Air Force Blue (USAF);#00308F;0;19;56;220;100;28;100;56;1187
air-superiority-blue;Air Superiority Blue;#72A0C1;45;63;76;205;39;60;41;76;22574
alabama-crimson;Alabama Crimson;#AF002A;69;0;16;346;100;34;100;69;30834
alice-blue;Alice Blue;#F0F8FF;94;97;100;208;100;97;6;100;1554
alizarin-crimson;Alizarin Crimson;#E32636;89;15;21;355;77;52;83;89;17931
alloy-orange;Alloy Orange;#C46210;77;38;6;27;85;42;92;77;1622
almond;Almond;#EFDECD;94;87;80;30;52;87;14;94;3485
amaranth;Amaranth;#E52B50;90;17;31;348;78;53;81;90;26628
amaranth-deep-purple;Amaranth Deep Purple;#AB274F;67;15;31;342;63;41;77;67;30427
amaranth-pink;Amaranth Pink;#F19CBB;95;61;73;338;75;78;35;95;557
amaranth-purple;Amaranth Purple;#AB274F;67;15;31;342;63;41;77;67;10729
amaranth-red;Amaranth Red;#D3212D;83;13;18;356;73;48;84;83;14355
amazon;Amazon;#3B7A57;23;48;34;147;35;35;52;48;19538
amber;Amber;#FFBF00;100;75;0;45;100;50;100;100;27996
amber-sae-ece;Amber (SAE/ECE);#FF7E00;100;49;0;30;100;50;100;100;4855
american-rose;American Rose;#FF033E;100;1;24;346;100;51;99;100;25406
amethyst;Amethyst;#9966CC;60;40;80;270;50;60;50;80;1796
android-green;Android Green;#A4C639;64;78;22;74;55;50;71;78;13034
anti-flash-white;Anti-Flash White;#F2F3F4;95;95;96;210;8;95;1;96;29845
antique-brass;Antique Brass;#CD9575;80;58;46;22;47;63;43;80;9231
antique-bronze;Antique Bronze;#665D1E;40;36;12;53;55;26;71;40;28857
antique-fuchsia;Antique Fuchsia;#915C83;57;36;51;316;22;46;37;57;4193
antique-ruby;Antique Ruby;#841B2D;52;11;18;350;66;31;80;52;15064
antique-white;Antique White;#FAEBD7;98;92;84;34;78;91;14;98;20207
ao-english;Ao (English);#008000;0;50;0;120;100;25;100;50;28046
apple-green;Apple Green;#8DB600;55;71;0;74;100;36;100;71;28032
apricot;Apricot;#FBCEB1;98;81;69;24;90;84;29;98;31152
aqua;Aqua;#00FFFF;0;100;100;180;100;50;100;100;25239
aquamarine;Aquamarine;#7FFFD4;50;100;83;160;100;75;50;100;4175
arctic-lime;Arctic Lime;#D0FF14;82;100;8;72;100;54;92;100;32421
army-green;Army Green;#4B5320;29;33;13;69;44;23;61;33;48
