SKU,Asin,UPC,Brand,MPN,Short Title,Long Title,Item Type,Product Length,Product Weight,Product Diameter,Color,Product height,Interface,Product Depth,Technology,Cable Length,Style,Water Resistant,Dial Color,Dial Type,Band Type,Movement Type,Clasp Type,Jewelry Type,Hands Color,Movement,Dial Window Material,Case Material,Strap Color,Strap Width,Product Type,Closure Type,Case Color,Gender,Crystal,Materials,Band Length,Face Color,Crystal Type,Band Material,Features,Series,Function(s),Dial Numerals,Bezel Material,Category,Case Type,Strap Type,Color Details,Watch Shape,Bluetooth Version,Microphone,Battery Type(s),Product dimensions,Fit Design,Frequency Response,Maximum Frequency,Wireless Technology,Connectivity,Connectivity Technology,Sound Mode,Sensitivity,Earpiece Type,Earpiece Design,Form Factor,Speaker Type,Included Accessories,Recommended Use,Age,Headphone Type,Controls,Bundled Items,Headphones Form Factor,Protection,Cable(s) Included,Run Time (up to),Brand Compatibility,Country of Manufacture,Model #,Product Size,Connector Type(s),Sound Output Mode,Watch case Shape,Display Technology,Crystal Material,Metal Type,Bracelet Color,Hands,Case Size,Gemstone Type,Collection,Case,Power Type,Product Category,Power,Age Group,Crown,Is Waterproof,Is Weather-Resistant,Item Shape,Band Width,Case Thickness,Model Year,Bezel FUNCTION,Band Style,Glass Type,Style Type,Closure,CaseMaterial,Range,Strap,Plating,Feature,Dial markers,Made,Metal,Display Type,FUNCTIONS,Case Shape,Second markers,Display,Signal-to-Noise ratio,Connectors,Headphone Features,Impedance,Casecase Material,Dial,Classification,Engine,Finish,Shape,Certificates,Item Variation,Water Resistance,Authenticity,Video Game Platform,Compatibility,Product Specifications,Product Width,Lens Type,Compatible device(s),Power source,Compatible Brand,Compatible Model,Batteries Required,Number of Products,Binding,Product Group,Weight Approximate,Capacity,Connectivity Interfaces,Audio Amplifier,Integrated Components,Enclosure Color,Clasp,Year of Manufacture,Band,Back Side Material,Dial Color Primary,Fabric Content,Lens Material,UV Protection,Frame Color,Frame Shape,Color Code,Lens,Frame Style,Frame Material(s),Detailsmodel,Lens Technology,Lens Tint,Accessory Type,Lens Color,Eyewear Frame Style,Department,Glass Material,Battery LIFE,Country,Calendar Type,Watch Feature(S),Case Width,Markers,Fit,Year,Frame,Face Size,Temple Length,Eyewear Lens Color,Country of Manufacturer,Bridge Size,Stone,Theme,Main Stone,Metal Stamp,Pattern,Lug Width,Strap Drop,Best Use,Battery Capacity,Exterior,Case Depth,Gem Type,Setting,Stone Shape,Resistance,Additional Features,Recommended Age,Connectivity Type,Volume,To Fit,Exterior Material,Carrying Options,SCREEN Size,Designed for,Notebook Compatibility,Product Material,Linear,Top Width,Handle Drop,Handle Length,Clothing Size,Interior,Driver Details,Battery Size,Speaker Size,Earpiece,Frame Type,Occasion,Measurement,Upper,Outsole,Midsole,Upper Material,Footwear Closure,Activity,Footwear height,Weather,Fastening,Keyboard/Keypad,Material,Measurements,Material Type,Back Finding,Pen Type,Ink Color,Design/Finish,Lens Feature,Lens height,Bridge Width,Bridge,Lens Width,Arm Length,Glasses for,Lens Size,Bridge or Pad,Eye Size,Characteristics,Temple Size,Model,Metal Purity,Number of Stones,Watch Type,Main Colour,Ring Size,RMS Power,Lens Diameter,Lens Shape,Frame Material,Mount Type,For,Minimum Frequency,Detailing,Ring Style
87WA130020,B00EV8RTLA,818919010757,88 Rue du Rhone,87WA130020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87WA120016,B00IG1SS22,818919010160,88 Rue du Rhone,87WA120016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR6055,B00WAI084S,723763226974,Armani,AR6055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR1964,,,Armani,AR1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR1906,,737993333449,Armani,AR1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AX5253,,723763247542,Armani Exchange,AX5253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AX1373,B01C8BBVB0,723763242219,Armani Exchange,AX1373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AX2324,,723763247337,Armani Exchange,AX2324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AX5314,,723763243872,Armani Exchange,AX5314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AX2181,B01C8AZXP6,723763243780,Armani Exchange,AX2181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
