SKU,Asin,UPC,Brand,MPN,Short Title,Long Title,Product Width,Product Height,Product Depth,Product Weight,Product Size,Product Length,Item Type,Total Capacity,Installation Type,Features,Shelf Material-Refrigerator,Refrigerator Width,Defrost,Cooling Type,Product Color,Certifications & Listings,Door Type,Product Volume,Product Material,Energy Star,Product Type,Input Voltage,Refrigerator Capacity,Amperage,Style,Refrigerant Type,Installation,Door Color,Capacity Cu Ft-Fresh Food,Fan Type,Cabinet Color,Voltage,Thermostat Type,Capacity (Cu. Ft.)-Fresh Food,Icemaker,Door Bins,Control Type,Cabinet Finish,Exterior Width,Dispenser Design,Light,Door Style,Freezer Shelves,CEE Tier,Control Location,Door Finish,Ice Maker Type,Handle Material,Temperature Control Type,Freezer Type,Handle Type,Temperature Range,Refrigerator Type,Hinge Side,Levelers,Color Finish,Freezer Capacity,Wheels,Dispenser Color,Capacity Cu Ft-Freezer,Capacity,Water Filter Location,Dispenser Options,Humidity Control,Energy Star Qualified,Energy Consumption Per Year,Interior Lighting Features,Productivity,Ice Storage Capacity,Temperature Zones,Compliant Standards,Form Factor,Control,Freezer Features,Refrigerator Shelf Material,Lighting Type,Overall Capacity,Ratings,Door Shelves,CEE Qualified,Freezer Door Bins,Refrigerator Interior Lighting,Appliance Color/Finish,Shelf Material-Freezer,Freezer Shelf Material,Control Features,Remote Access,Deli Drawer,Refrigerator Shelves Material,Top Air Clearances,Freezer Door Shelves,Water Dispenser,Textured Steel Case,Back Air Clearances,Shelf Material,Frequency Response,Doors,Shelf Quantity,Material Type,Refrigerator Light,Included Accessories,Shelf Construction,Exterior Material,Included,Freezer Net Capacity,Refrigerant,Energy Consumption,Display Color(s),Interior Light,Energy Efficiency,Cooling System,Liner Material,Rated Current,Door Hinge,Minimum Temperature F,Bottle Capacity,Minimum Temperature (F),Wheels & Leveling,Total Shelf Area,Toe Grille Color,Leveling System,Additional Features,Doors Features,Handle Color,Series,Pack Count,Automatic Defrost,Department,Color/Finish,Number Of Taps,Power Supply Connection Location,Power Type,Type Of Shelves,Condenser Type,Fresh Food Capacity,Freezer Shelf Area,Lighting Design,Water Filter,Door Gasket,Overall Height-Top To Bottom,Capacity (Cu. Ft.)-Freezer,Certifications,Ada Compliant,Cee Tier,Number Of Doors,Can Capacity,Commercial/Residential,Capacity Cu Ft-Total,Cable Length,Water Inlet Location,Interior Lighting,Voltage Rating,Country of Manufacture,Capacity (Cu. Ft.)-Refrigerators,Capacity (Cu. Ft.)-Total,Min. Height,Case Depth Without Door,Number Of Freezer Shelves,Max Power Consumption,Exterior Features,Refrigerator Net Capacity,Components Included,Ice Dispenser,Door Hinge Covers,Number Of Fresh Food Shelves,Selections,Appliance Colorfinish,Total Net Capacity,Door Handle(S) Color,Door Texture,Exterior Design,Exterior Style,Number Of Units,Door Hinges,Handle Design,Freezer Storage Baskets,Housing Material,Wattage,No Of Shelves,Fuel Type,Estimated Annual Electricity Use,Number Of Zones,Power,Number Of Shelves,Leveling Legs,Case Width,Controls,Humidity Control Crispers,Works With,Drawer Divider,Finish,Lighting,Lower Crisper,Case Depth,Slide-Out Shelves,Recommended Use,Power Options,Rollers Front,Defrost Type,Cooktop Type,Surface
206967250,B00MVVI19I,814982019468,Midea,WHS87LW1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206822858,B016DGCFIO,761101048086,Summit Appliance,SP7D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302994154,,883049434339,Whirlpool,WRS312SNHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205737103,,883049341606,Maytag,MZF34X16DW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205584070,B01EZ6KAZO,883049347141,Whirlpool,WRT104TFDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300079794,,665679016037,Norpole,NPGF2-S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301711325,B075TJC5KJ,883049445489,Whirlpool,WRF555SDHV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300036865,B01N7AK7JT,48231787840,LG Electronics,LFXS24626D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205745985,,883049339191,Whirlpool,WRT549SZDW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205527278,B00W4L62ZA,84691261476,GE,GTE21GTHBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
